templateId	text	templateText
1	Доброго воскресного утра	Рады приветствовать Вас на нашем сайте!
1	Доброго времени суток	Рады приветствовать Вас на нашем сайте!
1	Добрый здравствуйте	Рады приветствовать Вас на нашем сайте!
1	Добрый деньповторяю	Рады приветствовать Вас на нашем сайте!
1	Доброе время суток	Рады приветствовать Вас на нашем сайте!
1	Добрый деньвопрос	Рады приветствовать Вас на нашем сайте!
1	Добрый деньДобрый	Рады приветствовать Вас на нашем сайте!
1	Доброго здоровья	Рады приветствовать Вас на нашем сайте!
1	Добрый деньЕлена	Рады приветствовать Вас на нашем сайте!
1	Добрый денькакие	Рады приветствовать Вас на нашем сайте!
1	Доброго здравия	Рады приветствовать Вас на нашем сайте!
1	Доброго времени	Рады приветствовать Вас на нашем сайте!
1	Доброго времена	Рады приветствовать Вас на нашем сайте!
1	Добрый денькуда	Рады приветствовать Вас на нашем сайте!
1	Добрыйдень Есть	Рады приветствовать Вас на нашем сайте!
1	Добрый день1как	Рады приветствовать Вас на нашем сайте!
1	Добрый деньдень	Рады приветствовать Вас на нашем сайте!
1	С добрым утром	Рады приветствовать Вас на нашем сайте!
1	Доброго вечера	Рады приветствовать Вас на нашем сайте!
1	деньПодскажите	Рады приветствовать Вас на нашем сайте!
1	Доброе времени	Рады приветствовать Вас на нашем сайте!
1	Доброе утречко	Рады приветствовать Вас на нашем сайте!
1	Добрый день1Мы	Рады приветствовать Вас на нашем сайте!
1	Добрый деньКак	Рады приветствовать Вас на нашем сайте!
1	Добрый вДобрый	Рады приветствовать Вас на нашем сайте!
1	Добрый деньГде	Рады приветствовать Вас на нашем сайте!
1	Добрый деньчто	Рады приветствовать Вас на нашем сайте!
1	Доброло вечера	Рады приветствовать Вас на нашем сайте!
1	Добрейший день	Рады приветствовать Вас на нашем сайте!
1	Добрывйц день	Рады приветствовать Вас на нашем сайте!
1	Доброый вечер	Рады приветствовать Вас на нашем сайте!
1	Добрый Вопрос	Рады приветствовать Вас на нашем сайте!
1	Добрый вечер 	Рады приветствовать Вас на нашем сайте!
1	Добрый вечер1	Рады приветствовать Вас на нашем сайте!
1	Добрый вечерю	Рады приветствовать Вас на нашем сайте!
1	Добрый1 вечер	Рады приветствовать Вас на нашем сайте!
1	Добрый весчер	Рады приветствовать Вас на нашем сайте!
1	Доброе уттро1	Рады приветствовать Вас на нашем сайте!
1	Доброго время	Рады приветствовать Вас на нашем сайте!
1	Добрый двечер	Рады приветствовать Вас на нашем сайте!
1	Добрый деьПри	Рады приветствовать Вас на нашем сайте!
1	Добрывый день	Рады приветствовать Вас на нашем сайте!
1	Добритый день	Рады приветствовать Вас на нашем сайте!
1	Добрый вечере	Рады приветствовать Вас на нашем сайте!
